component,software_test,beam_energy(MeV),beam_flux(cm-2s-1),beam_fluence(cm-2),estimated_time_to_event(s)
LPDDR4-CPU,CPU memcheck,1E2,1E-4,1E6,10000000000.0
LPDDR4-CPU,CPU memcheck,1E3,1E-6,1E6,1000000000000.0
LPDDR4-CPU,CPU memcheck,1E1,1E-2,1E6,100000000.0
LPDDR4-CPU,CPU memcheck,1E0,1E1,1E6,100000.0
LPDDR4-GPU,CUDA MEMCHECK,1E2,1E-4,1E6,10000000000.0
LPDDR4-GPU,CUDA MEMCHECK,1E3,1E-6,1E6,1000000000000.0
LPDDR4-GPU,CUDA MEMCHECK,1E1,1E-2,1E6,100000000.0
LPDDR4-GPU,CUDA MEMCHECK,1E0,1E1,1E6,100000.0
LPDDR4-GPU,Badblocks,1E2,1E-4,1E6,10000000000.0
LPDDR4-GPU,Badblocks,1E3,1E-6,1E6,1000000000000.0
LPDDR4-GPU,Badblocks,1E1,1E-2,1E6,100000000.0
LPDDR4-GPU,Badblocks,1E0,1E1,1E6,100000.0
GPU,PTX script,1E2,1E-4,1E6,10000000000.0
GPU,PTX script,1E3,1E-6,1E6,1000000000000.0
GPU,PTX script,1E1,1E-2,1E6,100000000.0
GPU,PTX script,1E0,1E1,1E6,100000.0
GPU,CUDA samples,1E2,1E-4,1E6,10000000000.0
GPU,CUDA samples,1E3,1E-6,1E6,1000000000000.0
GPU,CUDA samples,1E1,1E-2,1E6,100000000.0
GPU,CUDA samples,1E0,1E1,1E6,100000.0
Flash,Vector Add/AND,1E2,1E-4,1E6,10000000000.0
Flash,Vector Add/AND,1E3,1E-6,1E6,1000000000000.0
Flash,Vector Add/AND,1E1,1E-2,1E6,100000000.0
Flash,Vector Add/AND,1E0,1E1,1E6,100000.0
